,Date,Type,Country,Area,Location,Activity,Sex,Age,Fatal (Y/N),Time,Species,original order,Address
940,2009-10-28,Unprovoked,AUSTRALIA,New South Wales,Lennox Heads,Paddle-boarding,F,17,N,07h00,Other,5156,"Lennox Heads, New South Wales, AUSTRALIA"
941,2009-10-24,Unprovoked,USA,California,"San Onofre, San Diego County ",Surfing,M,Unknown,N,17h30,Other,5155,"San Onofre, San Diego County , California, USA"
942,2009-10-19,Unprovoked,USA,Hawaii,"Kalama Park, Maui",Surfing,M,54,N,06h00,Other,5154,"Kalama Park, Maui, Hawaii, USA"
943,2009-10-18,Unprovoked,PANAMA,Bocas,Playa La Cabaña,Wading,F,10,N,18h30,Other,5153,"Playa La Cabaña, Bocas, PANAMA"
944,2009-10-17,Provoked,SCOTLAND,Fife,Deep Sea World Aquarium,Diving,M,23,N,14h45,Other,5152,"Deep Sea World Aquarium, Fife, SCOTLAND"
945,2009-10-14,Unprovoked,AUSTRALIA,Western Australia,Other,Diving,M,23,N,Unknown,Bull,5151,Unknown
946,2009-10-09,Unprovoked,USA,California,"San Onofre State Beach, San Diego County",Surfing,M,Unknown,N,11h00,Other,5150,"San Onofre State Beach, San Diego County, California, USA"
947,2009-10-02,Provoked,UNITED KINGDOM,Devon,Mewstone Rock,Fishing,M,39,N,12h50,Other,5149,"Mewstone Rock, Devon, UNITED KINGDOM"
948,2009-09-26,Unprovoked,USA,Florida,"Key Colony Beach, Monroe County",Swimming,M,Unknown,N,17h30,Bull,5148,"Key Colony Beach, Monroe County, Florida, USA"
949,2009-09-18,Unprovoked,VIETNAM,Other,Other,Unknown,M,Unknown,N,Unknown,Other,5147,Unknown
950,2009-09-15,Provoked,SOMALIA,Other,300 miles off the coast,Fishing,M,Unknown,N,Unknown,Other,5146,Unknown
