,Date,Type,Country,Area,Location,Activity,Sex,Age,Fatal (Y/N),Time,Species,original order
247,2015-07-23,Unprovoked,AUSTRALIA,Victoria,Tyrendarra Beach near Portland,Surfing,M,40,N,Unknown,"Bronze whaler shark, 1.5m",5848
248,2015-07-22,Unprovoked,REUNION,Other,St. Leu,Surfing,M,45,N,Unknown,"Bull shark, 2m",5847
249,2015-07-19,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Jeffrey's Bay,Surfing,M,34,N,Unknown,White shark,5846
250,2015-07-10,Unprovoked,USA,California,"Huntington Beach, Orange County",Surfing,M,38,N,08h45,"White shark, 7'",5845
251,2015-07-08,Invalid,USA,California,"Huntington Beach, Orange County",Treading water,M,39,N,Unknown,Shark involvement not cofirmed,5844
252,2015-07-06,Invalid,FRENCH POLYNESIA,Bora Bora,Other,Swimming,M,-1,N,Unknown,No shark involvement,5843
253,2015-07-04,Unprovoked,BAHAMAS,Grand Bahama Island,"Port Lucaya, Freeport",Spearfishing,F,23,N,Unknown,6' shark,5842
254,2015-07-04,Unprovoked,USA,North Carolina,"Off Surf City, Pender County",Unknown,M,32,N,Unknown,Other,5841
255,2015-07-03,Unprovoked,AUSTRALIA,New South Wales,Lennox Head,Surfing,M,52,N,09h00,White shark,5840
256,2015-07-02,Unprovoked,AUSTRALIA,New South Wales,East Ballina,Body boarding,M,32,N,09h00,White shark,5839
257,2015-07-01,Unprovoked,USA,North Carolina,"Ocracoke, Lifeguard Beach, National Park Service, Hyde County",Swimming,M,68,N,12h10,6' to 7' shark,5838
258,2015-06-30,Unprovoked,AUSTRALIA,New South Wales,"Flat Rock, Yamba",Surfing,M,-1,N,Unknown,Other,5837
259,2015-06-30,Unprovoked,USA,South Carolina,"Isle of Palms County Park, Isle of Palms, Charleston County",Playing in the water,M,12,N,18h05,4' to 5' shark,5836
260,2015-06-27,Unprovoked,USA,North Carolina,"Rodanthe, Dare County",Swimming,M,18,N,16h00,Bull shark,5835
261,2015-06-27,Unprovoked,SOUTH AFRICA,Western Cape Province,Buffels Bay near Knysna,Body Boarding,M,19,N,14h40,White shark,5834
262,2015-06-26,Invalid,USA,Florida,"Jacksonville Beach, Duval County",Swimming,F,-1,N,19h30,Shark involvement not confirmed,5833
263,2015-06-26,Unprovoked,SOUTH AFRICA,Western Cape Province,"Lookout Beach, Plettenberg Bay",Surfing,M,23,N,16h00,"White shark, 2m to 3 m",5832
264,2015-06-26,Unprovoked,USA,South Carolina,"South Beach, Hunting Island State Park, Beaufort County",Standing,M,43,N,11h00,4' shark,5831
265,2015-06-25,Provoked,AUSTRALIA,Western Australia,Rottnest Island,Swimming,M,19,N,Unknown,Wobbegong shark,5830
266,2015-06-25,Unprovoked,USA,North Carolina,"Avon, Hatteras Island, Outer Banks, Dare County",Body surfing?,M,47,N,11h41,Other,5829
267,2015-06-24,Unprovoked,USA,North Carolina,Surf City,Swimming,M,6,N,12h25,Sandtiger shark,5828
268,2015-06-24,Invalid,AUSTRALIA,Western Australia,Denmark,Surfing,F,37,N,09h30,White shark,5827
269,2015-06-23,Unprovoked,USA,South Carolina,"St. Helena Island, Beaufort County",Standing,M,9,N,Unknown,small shark,5826
270,2015-06-19,Unprovoked,PUERTO RICO,Other,Off Cabo Rojo,Spearfishing,M,36,N,Unknown,Other,5825
271,2015-06-17,Unprovoked,USA,Florida,Daytona Beach Shores,Swimming,M,10,N,13h00,Other,5824
272,2015-06-14,Unprovoked,USA,North Carolina,"Oak Island, Brunswick County",Wading,M,16,N,17h51,Bull shark,5823
273,2015-06-14,Unprovoked,USA,North Carolina,"Oak Island, Brunswick County",Wading,F,12,N,16h12,Bull shark,5822
274,2015-06-13,Unprovoked,USA,California,Off San Diego,Unknown,F,-1,N,Unknown,Mako shark,5821
275,2015-06-11,Unprovoked,USA,North Carolina,"Ocean Isle, Brunswick County",Boogie boarding,F,13,N,12h45,4' shark,5820
276,2015-06-07,Unprovoked,USA,Florida,"Lori Wilson Park, Cocoa Beach, Brevard  County",Playing,M,11,N,10h50,"Bull shark, 5'",5819
277,2015-06-05,Unprovoked,USA,Florida,Fort Lauderdale,Attempting to rescue a shark,F,17,N,Unknown,small nurse shark,5818
278,2015-06-01,Unprovoked,REUNION,Le Port,Folette,Surfing,M,47,N,15h00,"Bull shark, 2.5 m",5817
279,2015-05-29,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Standing,F,14,N,15h00,Other,5816
280,2015-05-29,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Wading,F,19,N,13h45,Other,5815
281,2015-05-25,Unprovoked,FRENCH POLYNESIA,Rangiroa,Avatoru Pass,Spearfishing,M,19,N,08h00,1m to 1.2 m shark,5814
